0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
631,S,EThSCellActivationDl2,,,4,1,0,4,5,24,0,0,0,0,1,0,0,""
656,S,EThSCellActivationUl1,,,4,1,0,4,5,32,0,0,0,0,1,0,0,""
689,S,EThSCellActivationUl2,,,4,1,0,4,5,24,0,0,0,0,1,0,0,""
714,S,ETimerProhibitActivationCommand,,,4,1,0,4,5,23,0,0,0,0,1,0,0,""
738,S,ETimerSCellCqiCheck,,,4,1,0,4,31,14,0,0,0,0,1,0,0,""
753,S,EFDEstimationUsageDcm,,,4,1,0,4,2,3,0,0,0,0,1,0,0,""
757,S,ECarrierBandwidth,,,4,1,0,4,13,11,0,0,0,0,1,0,0,""
769,S,ESCellType,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
772,S,TCqiDefaultDlDcm,,,2,0,0,2,0,0,0,0,0,0,0,0,0,""
773,S,TBooleanDcm,,,2,0,0,2,0,0,0,0,0,0,0,0,0,""
774,S,SFlagSCellSchedulingUlTable,,,17,0,0,16,0,1,2,0,0,0,1,0,0,""
777,S,SFlagSCellSchedulingDlTable,,,17,0,0,4,0,1,2,0,0,0,1,0,0,""
780,S,TTddFrameConf,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
781,S,TOaMTddSpecSubfConf,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
782,S,SFrameConfTdd,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
785,S,TFrequencyU16,,,2,0,0,2,0,0,0,0,0,0,0,0,0,""
786,S,SDcmCellPoolContainer,,,17,0,0,1800,0,22,25,0,0,0,1,0,0,""
812,S,UInnerUWmpDcmCaParamsContainer,,,18,0,0,1800,0,2,2,0,0,0,1,0,0,""
815,S,UWmpDcmCaParamsContainer,,,17,0,0,1804,0,2,2,0,0,0,1,0,0,""
818,S,SPuschReceiverAddressPoolInfo,,,17,0,0,8,0,2,2,0,0,0,1,0,0,""
821,S,SFNUlPhyAddress,,,17,0,0,12,0,3,3,0,0,0,1,0,0,""
840,S,TAaLteBtsHyperFrameNr,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
847,S,TAaLteBtsFrameNr,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
856,S,TTraceHandle,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
857,S,TTraceSessionProtocol,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
858,S,STracingCtrlStopSubscriberReqSession,,,17,0,0,16,0,3,4,0,0,0,1,0,0,""
879,S,TOaMLncelEnbId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
887,S,TL3LinkId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
888,S,TOaMLnMmeId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
889,S,TRelativeMMECapacity,,,0,0,0,1,0,0,0,0,0,0,0,0,0,""
890,S,STransportLayerAddress,,,17,0,0,24,0,2,3,0,0,0,1,0,0,""
894,S,TMmeGroupId,,,2,0,0,2,0,0,0,0,0,0,0,0,0,""
895,S,SGUGroupID,,,17,0,0,16,0,3,3,0,0,0,1,0,0,""
920,S,TOaMLnCelId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
921,S,TCrnti,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
922,S,TUeIndex,,,2,0,0,2,0,0,0,0,0,0,0,0,0,""
923,S,SUeCandidateData,,,17,0,0,8,0,3,3,0,0,0,1,0,0,""
941,S,ERp3Bandwidth,,,4,1,0,4,3,7,0,0,0,0,1,0,0,""
949,S,ERp3AntEnable,,,4,1,0,4,2,3,0,0,0,0,1,0,0,""
953,S,ERp3TxEnable,,,4,1,0,4,2,3,0,0,0,0,1,0,0,""
957,S,ERp3AntSource,,,4,1,0,4,5,19,0,0,0,0,1,0,0,""
977,S,ERp3Lane,,,4,1,0,4,2,3,0,0,0,0,1,0,0,""
981,S,ERp3Carrier,,,4,1,0,4,3,5,0,0,0,0,1,0,0,""
987,S,SRp3CtrlData,,,17,0,0,28,0,7,7,0,0,0,1,0,0,""
1005,S,EOaMActNBIoT,,,4,1,0,4,2,4,0,0,0,0,1,0,0,""
1010,S,EErrcNpdcchStartSFUSSR13,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1019,S,EErrcNpdcchNumRepetitionsR13,,,4,1,0,4,4,16,0,0,0,0,1,0,0,""
1036,S,EErrcNpdcchOffsetUSSR13,,,4,1,0,4,2,4,0,0,0,0,1,0,0,""
1041,S,TNpdcchNumRepetitionPagingR13,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1042,S,SNpdcchParameters,,,17,0,0,16,0,4,4,0,0,0,1,0,0,""
1047,S,EErrcLogicalChannelSRProhibitTimerR13,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1056,S,EErrcRetxBSRTimerNBR13,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1065,S,EErrcMaxRetxThresholdR13,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1074,S,EErrcTPollRetransmitNBR13,,,4,1,0,4,4,16,0,0,0,0,1,0,0,""
1091,S,EErrcACKNACKNumRepetitionsNBR13,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1100,S,SUecNbCoverageSpecificParameters,,,17,0,0,36,0,6,6,0,0,0,1,0,0,""
1107,S,TErrcARFCNValueEUTRAR9,,,5,0,0,4,0,0,0,0,0,0,0,0,0,""
1108,S,EErrcCarrierFreqOffsetR13,,,4,1,0,4,5,21,0,0,0,0,1,0,0,""
1130,S,EErrcNrsPowerOffsetNonAnchorV1330,,,4,1,0,4,3,8,0,0,0,0,1,0,0,""
1139,S,SUecNonAnchorDlSpecificParameters,,,17,0,0,16,0,4,4,0,0,0,1,0,0,""
1144,S,SNbIotParameters,,,17,0,0,256,0,10,12,0,0,0,1,0,0,""
1157,S,TOaMMcc,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1158,S,TOaMMnc,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1159,S,TOaMMncLength,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1160,S,SPrimaryPlmnId,,,17,0,0,12,0,3,3,0,0,0,1,0,0,""
1164,S,TOaMAutoRemovalAllowed,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1165,S,EOaMCellReserve,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
1168,S,SOaMFurtherPlmnIdL,,,17,0,0,20,0,5,5,0,0,0,1,0,0,""
1174,S,SArrayOfOaMFurtherPlmnIdL,,,17,0,0,108,0,3,4,0,0,0,1,0,0,""
1179,S,TOaMLncelTac,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1180,S,TQciTabDscp,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1181,S,TQciTabPdcpProfId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1182,S,TQciTabPrio,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1183,S,TQciTabQci,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1184,S,EQciTabSupp,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
1187,S,EQciTabResType,,,4,1,0,4,2,3,0,0,0,0,1,0,0,""
1191,S,EQciTabRlcMode,,,4,1,0,4,2,3,0,0,0,0,1,0,0,""
1195,S,TQciTabRlcProfId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1196,S,TQciTabSchedulWeight,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
1197,S,EOaMSchedulType,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
1200,S,EQciTabLcgid,,,4,1,0,4,2,4,0,0,0,0,1,0,0,""
1205,S,EUecQciTabDelayTarget,,,4,1,0,4,6,41,0,0,0,0,1,0,0,""
1247,S,EQciTabUlsBsd,,,4,1,0,4,3,6,0,0,0,0,1,0,0,""
1254,S,TQciTabUlsPrio,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
