0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
579,F,SMacPsL2Addresses,puschReceiveRespUSicad,TAaSysComSicad,4,0,0,4,0,0,0,0,0,2,1,0,504,""
580,F,SMacPsL2Addresses,puschReceiveRespUQueue,,14,0,324,64,0,16,0,0,0,1,1,0,0,""
581,F,SMacPsL2Addresses,puschReceiveRespUQueue,,4,0,0,4,0,0,0,0,0,2,0,0,0,""
582,F,SMacPsL2Addresses,dataCtrlDlDataQueue,,14,0,388,64,0,16,0,0,0,1,1,0,0,""
583,F,SMacPsL2Addresses,dataCtrlDlDataQueue,,4,0,0,4,0,0,0,0,0,2,0,0,0,""
584,F,SMacPsL2Addresses,dataCtrlUlQueue,,14,0,452,64,0,16,0,0,0,1,1,0,0,""
585,F,SMacPsL2Addresses,dataCtrlUlQueue,,4,0,0,4,0,0,0,0,0,2,0,0,0,""
586,F,SMacPsL2Addresses,dataCtrlDiscardQueue,,14,0,516,64,0,16,0,0,0,1,1,0,0,""
587,F,SMacPsL2Addresses,dataCtrlDiscardQueue,,4,0,0,4,0,0,0,0,0,2,0,0,0,""
588,F,SMacPsL2Addresses,poolId,TPoolId,4,0,580,4,0,0,0,0,0,1,1,0,428,""
590,F,SWmpCellInfoContainer,macPsDelayCriticalAddresses,SConfigurableUsageAddresses,17,0,0,196,0,2,0,0,0,1,1,0,550,""
591,F,SWmpCellInfoContainer,macPsNonDelayCriticalAddresses,SConfigurableUsageAddresses,17,0,196,196,0,2,0,0,0,1,1,0,550,""
592,F,SWmpCellInfoContainer,macPsAddresses,SMacPsMacPsAddresses,17,0,392,108,0,12,0,0,0,1,1,0,554,""
593,F,SWmpCellInfoContainer,l2Addresses,SMacPsL2Addresses,17,0,500,584,0,11,0,0,0,1,1,0,568,""
594,F,SWmpCellInfoContainer,isInterSiteCAPossible,TBoolean,4,0,1084,4,0,0,0,0,0,1,1,0,457,""
595,F,SWmpCellInfoContainer,actMassiveMimo,TBoolean,4,0,1088,4,0,0,0,0,0,1,1,0,457,""
775,F,SFlagSCellSchedulingUlTable,flagSCellSchedulingUl,,14,0,0,16,0,8,0,0,0,1,1,0,0,""
776,F,SFlagSCellSchedulingUlTable,flagSCellSchedulingUl,TBooleanDcm,2,0,0,2,0,0,0,0,0,2,1,0,773,""
778,F,SFlagSCellSchedulingDlTable,flagSCellSchedulingDl,,14,0,0,4,0,2,0,0,0,1,1,0,0,""
779,F,SFlagSCellSchedulingDlTable,flagSCellSchedulingDl,TBooleanDcm,2,0,0,2,0,0,0,0,0,2,1,0,773,""
783,F,SFrameConfTdd,tddFrameConf,TTddFrameConf,4,0,0,4,0,0,0,0,0,1,1,0,780,""
784,F,SFrameConfTdd,tddSpecSubfConf,TOaMTddSpecSubfConf,4,0,4,4,0,0,0,0,0,1,1,0,781,""
787,F,SDcmCellPoolContainer,thSCellCqiState,TThSCellCqiState,2,0,0,2,0,0,0,0,0,1,1,0,596,""
788,F,SDcmCellPoolContainer,thPduSizePaddingTA,TThPduSizePaddingTA,2,0,2,2,0,0,0,0,0,1,1,0,597,""
789,F,SDcmCellPoolContainer,thSCellActivationDl1,EThSCellActivationDl1,4,1,4,4,0,32,0,1,0,1,1,0,598,""
790,F,SDcmCellPoolContainer,thSCellActivationDl2,EThSCellActivationDl2,4,1,8,4,0,24,0,1,0,1,1,0,631,""
